BitValue X,BitValue Y
0,8.000000000058622
1.552202109138834e-11,8.001209524204739
2.208260166278571e-11,8.001622886436463
3.520376280558045e-11,8.002247734391828
4.048089375848213e-11,8.002381893104316
4.849682796572793e-11,8.002454418334514
5.388087067050403e-11,8.002426482910654
6.014910104651459e-11,8.002290212652237
6.532061755858256e-11,8.002131405994687
7.190241354577411e-11,8.00189094933414
7.914868089922256e-11,8.001629165168032
8.789966737593964e-11,8.001331879266502
1.007373090498764e-10,8.000962298346179
1.15039315094442e-10,8.000637254746042
1.265140469991933e-10,8.000428263200073
1.411274347618452e-10,8.000216786480465
1.526002005478389e-10,8.000082008997742
1.634661657804803e-10,7.999977188656078
1.753561565938374e-10,7.999881628198338
1.915808472652551e-10,7.99977822530611
2.014510772823915e-10,7.99972745000533
2.109564768530945e-10,7.999686659096154
2.160384213090206e-10,7.999667924053986
2.229957827045334e-10,7.999645500964188
2.301168001910277e-10,7.999625362572421
2.391007393829628e-10,7.999603023413708
2.462710289605654e-10,7.999587276297989
2.554657163357682e-10,7.999569762942044
2.662275950342901e-10,7.999553164270813
2.794287249531392e-10,7.999538425663228
3.042164004425048e-10,7.999524761672546
3.367526443882045e-10,7.999529104620434
3.734118456653691e-10,7.999551736060228
4.184404464184982e-10,7.999596159578062
4.662611024645558e-10,7.999649203093572
5.223110160424801e-10,7.999712893901628
5.894056551107968e-10,7.999780554714075
6.688635594418682e-10,7.999846029274187
7.782885484761821e-10,7.999910127939267
9.166035488806164e-10,7.99995648505405
1.149873655245892e-09,7.999992327576333
1.498341313949444e-09,7.999998939296217
2.129189427525697e-09,8.000000503290959
2.91995473088247e-09,7.999998904412712
3.984513123987281e-09,7.999999317650063
5.44329851662155e-09,7.999999889410241
7.510449961883162e-09,7.999999846244753
1.050176498270545e-08,7.999999869524293
1.464944547910652e-08,7.999999967758894
2.079109776373294e-08,8.000000024347802
2.961209353703264e-08,8.000000042551878
4.473820194260286e-08,8.000000047639018
6.214450205144801e-08,8.000000050034396
9.173262762395675e-08,8.000000052376871
1.30751050638667e-07,8.000000052920386
2.01552731570797e-07,8.000000052637864
3.108761629106133e-07,8.00000005264965
5.29523025590246e-07,8.000000052715821
9.668167509495112e-07,8.000000052694965
1.841404201668042e-06,8.000000052682863
3.590579103105102e-06,8.000000052688021
