/M2/D X,/M2/D Y
0,4.754933258348946e-12
1.552202109138834e-11,9.365198612420058e-12
2.208260166278571e-11,8.993003599736591e-12
3.520376280558045e-11,7.852005061879215e-12
4.048089375848213e-11,7.230807163768393e-12
4.849682796572793e-11,6.327320411015022e-12
5.388087067050403e-11,5.801827366306229e-12
6.014910104651459e-11,4.198690182322562e-12
6.532061755858256e-11,3.812761457316031e-12
7.190241354577411e-11,3.411267387764995e-12
7.914868089922256e-11,3.298343338706166e-12
8.789966737593964e-11,3.299032912184304e-12
1.007373090498764e-10,3.391532751007225e-12
1.15039315094442e-10,3.511497829380135e-12
1.265140469991933e-10,3.608118603437256e-12
1.411274347618452e-10,3.716106925389977e-12
1.526002005478389e-10,3.80012264887238e-12
1.634661657804803e-10,3.875095105009879e-12
1.753561565938374e-10,3.945712304373809e-12
1.915808472652551e-10,4.035976597977421e-12
2.014510772823915e-10,4.086401522140358e-12
2.109564768530945e-10,4.132436443252991e-12
2.160384213090206e-10,4.15619278998257e-12
2.229957827045334e-10,4.187474918683529e-12
2.301168001910277e-10,4.218352553535641e-12
2.391007393829628e-10,4.25544449055212e-12
2.462710289605654e-10,4.283836634229764e-12
2.554657163357682e-10,4.318453841675864e-12
2.662275950342901e-10,4.356509834261471e-12
2.794287249531392e-10,4.399387845327838e-12
3.042164004425048e-10,4.470383417289871e-12
3.367526443882045e-10,4.546745447522509e-12
3.734118456653691e-10,4.614735897084849e-12
4.184404464184982e-10,4.676536059364781e-12
4.662611024645558e-10,4.723557222679882e-12
5.223110160424801e-10,4.759280967911217e-12
5.894056551107968e-10,4.785163577465855e-12
6.688635594418682e-10,4.798530562011115e-12
7.782885484761821e-10,4.803185160650466e-12
9.166035488806164e-10,4.796291389366871e-12
1.149873655245892e-09,4.781673722236394e-12
1.498341313949444e-09,4.764779235480275e-12
2.129189427525697e-09,4.753792051027274e-12
2.91995473088247e-09,4.754975470938527e-12
3.984513123987281e-09,4.755064258229924e-12
5.44329851662155e-09,4.754749785276362e-12
7.510449961883162e-09,4.754826496664351e-12
1.050176498270545e-08,4.754273040978659e-12
1.464944547910652e-08,4.755722010534462e-12
2.079109776373294e-08,4.752579091113612e-12
2.961209353703264e-08,4.756138325273505e-12
4.473820194260286e-08,4.752957287110655e-12
6.214450205144801e-08,4.755310515945335e-12
9.173262762395675e-08,4.754290819377915e-12
1.30751050638667e-07,4.754912843843117e-12
2.01552731570797e-07,4.7547839740738e-12
3.108761629106133e-07,4.754856161240483e-12
5.29523025590246e-07,4.754788007133828e-12
9.668167509495112e-07,4.754853580511557e-12
1.841404201668042e-06,4.754787930380707e-12
3.590579103105102e-06,4.754853615604534e-12
7.088928905979224e-06,4.754787921492397e-12
