/I0/net1 X,/I0/net1 Y
0,1.075738808109364e-08
1.552202109138834e-11,-1.294187694298908e-06
2.208260166278571e-11,-1.438484238120497e-06
3.520376280558045e-11,-2.489887612411333e-07
4.048089375848213e-11,1.85138620077587e-06
4.849682796572793e-11,5.494527866482879e-06
5.388087067050403e-11,7.382630670318861e-06
6.014910104651459e-11,8.669780729876554e-06
6.532061755858256e-11,8.836213628524313e-06
7.190241354577411e-11,8.09282948596057e-06
7.914868089922256e-11,6.567313903695893e-06
8.789966737593964e-11,4.119976338280316e-06
1.007373090498764e-10,8.590445185832934e-08
1.15039315094442e-10,-5.044207627978781e-06
1.265140469991933e-10,-7.247408582593908e-06
1.411274347618452e-10,-8.401087373118883e-06
1.526002005478389e-10,-9.583938585418658e-06
1.634661657804803e-10,-1.043731773135987e-05
1.753561565938374e-10,-1.094491091280601e-05
1.915808472652551e-10,-1.034827311038488e-05
2.014510772823915e-10,-8.934199492884325e-06
2.109564768530945e-10,-6.403622543876699e-06
2.160384213090206e-10,-4.099680717247988e-06
2.229957827045334e-10,1.036955981553761e-07
2.301168001910277e-10,4.295604256373915e-06
2.391007393829628e-10,8.311819479264732e-06
2.462710289605654e-10,1.006013692179704e-05
2.554657163357682e-10,1.080955660838473e-05
2.662275950342901e-10,1.031284951039932e-05
2.794287249531392e-10,8.558346929821165e-06
3.042164004425048e-10,5.206191420055314e-06
3.367526443882045e-10,1.897495124658874e-06
3.734118456653691e-10,-1.466915226972489e-08
4.184404464184982e-10,-7.15223095800217e-07
4.662611024645558e-10,-8.536493873159201e-07
5.223110160424801e-10,-6.269519546808162e-07
5.894056551107968e-10,-3.696888554327546e-07
6.688635594418682e-10,-1.579785390538527e-07
7.782885484761821e-10,-2.441601985453693e-08
9.166035488806164e-10,4.292204832292189e-09
1.149873655245892e-09,1.454775775135349e-08
1.498341313949444e-09,8.936058181400662e-09
2.129189427525697e-09,9.916084087471684e-09
2.91995473088247e-09,1.136449282091396e-08
3.984513123987281e-09,1.086895953680636e-08
5.44329851662155e-09,1.065725461357865e-08
7.510449961883162e-09,1.074865334057949e-08
1.050176498270545e-08,1.076436506719141e-08
1.464944547910652e-08,1.075751759904655e-08
2.079109776373294e-08,1.075695794300203e-08
2.961209353703264e-08,1.07574588039989e-08
4.473820194260286e-08,1.075737982886572e-08
6.214450205144801e-08,1.075743982741165e-08
9.173262762395675e-08,1.075746082832163e-08
1.30751050638667e-07,1.075744099620967e-08
2.01552731570797e-07,1.075744010929007e-08
3.108761629106133e-07,1.075744053960743e-08
5.29523025590246e-07,1.075744113223518e-08
9.668167509495112e-07,1.075744050676295e-08
1.841404201668042e-06,1.075743956004125e-08
3.590579103105102e-06,1.07574404412582e-08
7.088928905979224e-06,1.075744565249747e-08
1.000000000000003e-05,1.075744016823352e-08
1.039261506919131e-05,1.075744020038084e-08
1.11175081299293e-05,1.075741667507539e-08
1.171503019500952e-05,1.075744020405268e-08
1.291007432516996e-05,1.075744008604987e-08
1.372808455849474e-05,1.075744013916632e-08
1.448846471713493e-05,1.075746053723115e-08
1.497476637707277e-05,1.075744011312966e-08
1.517357799637272e-05,1.075745852551107e-08
1.525136584085515e-05,1.075744000285585e-08
1.540694152982002e-05,1.075744545718992e-08
1.544273978276373e-05,1.075743995190939e-08
1.551433628865114e-05,1.075741672464077e-08
1.557463462185502e-05,1.075743978180645e-08
1.563116358910375e-05,1.075744106990371e-08
1.564139807414303e-05,1.075743984651459e-08
1.564651531666267e-05,1.075748158979084e-08
1.565161525796282e-05,1.075744052364955e-08
1.56535036456896e-05,1.075741030880462e-08
1.565666487000251e-05,1.075744000417514e-08
1.565743629250034e-05,1.075736682431422e-08
1.565854749664708e-05,1.075752163455278e-08
1.566030043374909e-05,1.075733173529217e-08
1.566125292333419e-05,1.075818484221473e-08
1.566172916812674e-05,1.078253979797599e-08
1.566265404402198e-05,1.07372906923295e-08
1.566287410972137e-05,1.187469809306027e-08
1.56630712427579e-05,1.074298929052799e-08
1.566324488447221e-05,1.484876120270184e-08
1.566338779406857e-05,8.795533391351934e-09
1.5663548403203e-05,-1.373517500873632e-07
1.566358570190633e-05,-3.95483126602172e-07
1.566366029931301e-05,-1.639368107344551e-06
1.566368008408602e-05,-3.019375255714543e-06
1.566371343612971e-05,-5.66115399886298e-06
1.566374433577374e-05,-2.327058786728213e-06
1.566378651880005e-05,7.506904152141479e-05
1.566380252371037e-05,0.0001627341076560153
1.566382534608259e-05,0.0003246043279300728
1.56638350952177e-05,0.0003968379056816446
1.566384851098716e-05,0.000486564430174265
1.566386723385372e-05,0.0005483122392105385
1.566388311898951e-05,0.000535927773551739
1.566389722118882e-05,0.0005014039021849517
1.566391539381346e-05,0.0004268786327027318
1.566392790308409e-05,0.000363639437418247
1.566394703840706e-05,0.0002353751605351655
1.566395753315024e-05,1.468902777902083e-05
1.566397096986684e-05,-0.0003962646644411037
1.566398475312495e-05,-0.0008162556442244052
1.566399728612638e-05,-0.001131107831857991
1.5664005675397e-05,-0.001281748084264238
1.56640172971343e-05,-0.001304971298302781
1.566402621197687e-05,-0.001217454527526958
1.566403759142816e-05,-0.00102458813977851
1.566404597846241e-05,-0.0008614798055838887
1.566405577049529e-05,-0.0006702405933539563
1.566406094419725e-05,-0.000576775065236636
1.566406825327511e-05,-0.0004568692978908502
1.5664074166479e-05,-0.0003710399752816286
1.566408064702833e-05,-0.0002875672801909851
1.56640863382073e-05,-0.000221472069683905
1.566409259616008e-05,-0.00015351291763183
1.566409667129475e-05,-0.0001108216572582444
1.566410151251665e-05,-6.296226185728619e-05
1.566410638852028e-05,-1.906737024943764e-05
1.566411266797036e-05,2.963089276301433e-05
1.566411841750768e-05,6.617961150264853e-05
1.566412542079661e-05,0.0001014348397553894
1.566413280561228e-05,0.0001307814855514435
1.566414043396025e-05,0.0001544126656798186
1.566414866558631e-05,0.0001750856349307619
1.566415699501584e-05,0.0001916275541528178
1.566416519060403e-05,0.0002032587852012514
1.566417475930677e-05,0.0002100279581596462
1.566418284223334e-05,0.0002091145366128297
1.566419031469493e-05,0.0002022014157525217
1.56641962779665e-05,0.0001937242570232751
1.566420749851962e-05,0.0001740009407757302
1.566421396432227e-05,0.0001608148869088999
1.566422428231592e-05,0.0001372435062405422
1.566423524228884e-05,0.0001091552660818524
1.566424905215373e-05,7.024568090983694e-05
1.566426502491533e-05,1.407031985507567e-05
1.566428044954553e-05,-4.739742405394672e-05
1.566429782548963e-05,-9.60725421524885e-05
1.566431299382157e-05,-9.859118379455934e-05
1.56643236067171e-05,-9.112834662771409e-05
1.566432951142815e-05,-7.476498130066104e-05
1.56643344344094e-05,-4.986768925421041e-05
1.566433976356798e-05,-1.910237512123959e-05
1.566434459417365e-05,6.858679538420217e-06
1.566435113522251e-05,3.632724953999187e-05
1.566435783011866e-05,5.915458637182871e-05
1.566436621984012e-05,7.760779075773532e-05
1.566437778177558e-05,9.117474535595653e-05
1.566439249305693e-05,9.561554810925758e-05
1.566440900857336e-05,9.417631013467634e-05
1.566442848659913e-05,8.750441843544311e-05
1.566443614777973e-05,8.464498285888483e-05
1.566444666127655e-05,8.066634021610333e-05
1.566446066761958e-05,7.540429733128791e-05
1.566447555801339e-05,6.980974526878928e-05
1.566449263632075e-05,6.342436355152795e-05
1.566452063683425e-05,5.315339345399401e-05
1.566454922648887e-05,4.35355392048176e-05
1.566457958700978e-05,3.454321892462855e-05
1.566460888789404e-05,2.742510229473083e-05
1.566464361069364e-05,2.076977637917458e-05
1.56646921401372e-05,1.387273121874509e-05
1.566475483244931e-05,8.149961690091486e-06
1.566485184205919e-05,3.133288613428609e-06
1.566497246418134e-05,9.338074887291411e-07
1.566514007608557e-05,-8.808600216161377e-08
1.566537257084934e-05,9.397862407936935e-09
