/net010 X,/net010 Y
0,1.8
1.550640231375065e-11,1.8
2.188501159334628e-11,1.8
3.464223015253754e-11,1.8
3.966268667617698e-11,1.8
4.749057084541679e-11,1.8
5.266833773779293e-11,1.8
5.897024237473897e-11,1.8
6.412457887731213e-11,1.8
7.048971348117045e-11,1.8
7.769595765329923e-11,1.8
8.629087915693484e-11,1.8
9.910133990495984e-11,1.8
1.13577798741539e-10,1.8
1.256949721265535e-10,1.8
1.39898604443657e-10,1.8
1.514343958816655e-10,1.8
1.623082463727849e-10,1.8
1.74167615711915e-10,1.8
1.903322352579128e-10,1.8
2.00327743591954e-10,1.8
2.099394038031405e-10,1.8
2.150363964353564e-10,1.8
2.220508448776535e-10,1.8
2.290478092902606e-10,1.8
2.381445042992009e-10,1.8
2.453436386233219e-10,1.8
2.544119790755744e-10,1.8
2.653304482574184e-10,1.8
2.785205687888897e-10,1.8
3.027878040262966e-10,1.8
3.345910620459663e-10,1.8
3.711522231999984e-10,1.8
4.16016229599285e-10,1.8
4.636215101005907e-10,1.8
5.194567277702849e-10,1.8
5.860867658728113e-10,1.8
6.649561390118932e-10,1.8
7.732912851418232e-10,1.8
9.100088381269027e-10,1.8
1.139257370449018e-09,1.8
1.480606309146682e-09,1.8
2.099084687555633e-09,1.8
2.873676346298172e-09,1.8
3.920632344335353e-09,1.8
5.350040935618939e-09,1.8
7.384814786510939e-09,1.8
1.030170068654764e-08,1.8
1.436170935458872e-08,1.8
2.024982027270565e-08,1.8
2.848300101542276e-08,1.8
4.201412701198345e-08,1.8
5.793259959921782e-08,1.8
8.382095232911411e-08,1.8
1.160511769124645e-07,1.8
1.722107323091957e-07,1.8
2.530774229543601e-07,1.8
4.148108042446891e-07,1.8
7.096200547694472e-07,1.8
1.299238555818964e-06,1.8
2.478475557917996e-06,1.8
4.836949562116061e-06,1.8
7.418474781058043e-06,1.8
1.000000000000003e-05,1.8
1.036978051494289e-05,1.73343950731028
1.106635703848726e-05,1.608055733072306
1.162445857825974e-05,1.507597455913242
1.27406616578047e-05,1.306680901595153
1.382254953443925e-05,1.111941083800959
