/I0/net2 X,/I0/net2 Y
0,1.799999999994973
1.552202107467709e-11,1.799999806897146
2.208260158188514e-11,1.799999820236138
3.520376259630123e-11,1.800000246056244
4.048086581141847e-11,1.800000787002918
4.849675116819842e-11,1.800001804479784
5.388081953697257e-11,1.800002257312651
6.014902600618112e-11,1.800002416842194
6.532055196137533e-11,1.800002197888552
7.190235146526084e-11,1.800001587785134
7.914862055929774e-11,1.80000077834082
8.789958987128132e-11,1.799999741916426
1.007371958960563e-10,1.799997748458079
1.150392570836574e-10,1.799994057218758
1.265145721883718e-10,1.799992171883085
1.411277998383493e-10,1.799989946663111
1.526003850131413e-10,1.799983858719466
1.634664844109759e-10,1.799979486039779
1.753564346611029e-10,1.799978476788555
1.915810041191521e-10,1.799982099745451
2.014512689541768e-10,1.799986797985859
2.109567033864547e-10,1.799995620852775
2.160386627692945e-10,1.800004953291289
2.229960689164367e-10,1.800022397931911
2.301169490240694e-10,1.800036819464994
2.391010136582485e-10,1.800045328876678
2.462713046091363e-10,1.800045188826604
2.554660387233044e-10,1.800038668734028
2.662278291723712e-10,1.800028076490717
2.794288717798082e-10,1.800014697045286
3.042157221826728e-10,1.799998572066998
3.36750562337454e-10,1.799991998262068
3.734095299044267e-10,1.799991618445122
4.184375521682042e-10,1.799994918790843
4.505870538859588e-10,1.799995491638648
4.978848198686712e-10,1.799991484954516
5.193956272723389e-10,1.799986124614461
5.505550989122795e-10,1.799978820095836
5.634838596106186e-10,1.799987854463862
5.846753202490819e-10,1.800015323049035
5.996443200689188e-10,1.800025037565971
6.16368666337781e-10,1.800027352111113
6.362194752949595e-10,1.800020812455538
6.594511660277606e-10,1.800001396967517
6.764217598678724e-10,1.799983160133427
6.92485159153674e-10,1.79996974845508
7.184915752638041e-10,1.799966596339421
7.416764571982905e-10,1.799977651227584
7.645847601998436e-10,1.799991273869287
7.948443325574084e-10,1.800010612062592
8.318829660013533e-10,1.800026784005408
8.788658657974778e-10,1.800032448288801
9.381223730492538e-10,1.800028590215417
9.920006548456849e-10,1.800019829435568
1.044770052269547e-09,1.800007776348279
1.115126088550204e-09,1.799995710644099
1.206729830505127e-09,1.799989628292424
1.315147908433964e-09,1.799990556501962
1.416906686767014e-09,1.799992862514934
1.534774850781441e-09,1.799995879653809
1.669726310536463e-09,1.799998054200542
1.829278837140357e-09,1.799999244779782
2.050804910132714e-09,1.799999919222674
2.328853125437092e-09,1.799999959115265
2.801907490639971e-09,1.799999969624626
3.488225664493108e-09,1.799999954040681
4.860862012199382e-09,1.799999957482576
6.882743025064042e-09,1.799999960806288
9.591171885230604e-09,1.799999959628018
1.333234723261922e-08,1.799999959225291
1.843849944274275e-08,1.799999959393085
2.660620406191122e-08,1.799999959426776
3.928082600371408e-08,1.799999959411623
6.46300698873198e-08,1.79999995941038
1.153285576545312e-07,1.799999959410987
2.167255331889541e-07,1.799999959411002
4.195194842577998e-07,1.799999959410994
8.251073863954914e-07,1.799999959410995
1.636283190670874e-06,1.799999959410995
3.25863479922164e-06,1.799999959410995
6.503338016323172e-06,1.799999959410996
1.000000000000003e-05,1.799999959410996
1.040934461962046e-05,1.799999959410996
1.115468621715678e-05,1.799999959410996
1.181644092048774e-05,1.799999959410996
1.313995032714968e-05,1.799999959410997
1.380170503048065e-05,1.799999959410997
1.512521443714259e-05,1.799999959410996
1.531909002153492e-05,1.799999959410997
1.541602781373109e-05,1.799999959410997
1.545474464861489e-05,1.799999959410997
1.553217831838249e-05,1.799999959410997
1.558530979942223e-05,1.799999959410996
1.564102717778879e-05,1.799999959410997
1.564827172481655e-05,1.799999959410997
1.565189399833043e-05,1.799999959410997
1.565399036183588e-05,1.799999959410997
1.56550385435886e-05,1.799999959410994
1.565713490709404e-05,1.799999959410999
1.565919574426045e-05,1.799999959410993
1.566051029198321e-05,1.799999959411042
1.566116756584459e-05,1.79999995941594
1.566243966131079e-05,1.79999995940701
1.566272328440357e-05,1.799999959787507
1.566297604021314e-05,1.799999959128115
1.566314161671032e-05,1.799999963719969
1.566330321567225e-05,1.799999957815172
1.566345751054683e-05,1.799999941584238
1.566350676240475e-05,1.799999827940758
1.566360526612061e-05,1.799999335000454
1.566363467101959e-05,1.799998833847389
1.566366718832886e-05,1.799996309144957
1.566369765237359e-05,1.799994121461349
1.566372599607671e-05,1.799994303725366
1.566374817385591e-05,1.800010303295597
1.566377588709632e-05,1.80008757716742
