/M2/D X,/M2/D Y
1.566881475290241e-05,4.75649098729093e-12
1.566969856237115e-05,4.75797338642868e-12
1.567075112128745e-05,4.762499365261678e-12
1.567173348022431e-05,4.771085033570163e-12
1.56727575437592e-05,4.792788394061285e-12
1.567393793762503e-05,4.84771339766927e-12
1.567568130390149e-05,5.096873560336968e-12
1.567715016762602e-05,5.099766682295079e-12
1.567767193700212e-05,4.824975330856256e-12
1.567871547575432e-05,3.913371332137957e-12
1.567991855761681e-05,2.800156696898504e-12
1.568102890165438e-05,2.520446081162764e-12
1.568168679002395e-05,1.541837085581473e-12
1.568266865249609e-05,-3.964138897859551e-12
1.568291736496495e-05,-8.560509028829909e-12
1.568330270689735e-05,-9.944504095754923e-12
1.568349816241879e-05,-5.144330854932024e-12
1.568378417058919e-05,1.72203805778426e-11
1.568400821609102e-05,2.899776250403861e-11
1.568426968174094e-05,1.819665358103647e-11
1.568450382562424e-05,1.611585073891656e-11
1.568483905420578e-05,1.116211451521279e-11
1.568521232709916e-05,8.701559838998202e-12
1.568564896511562e-05,6.987756038057272e-12
1.568622618040767e-05,6.142104331038905e-12
1.568642878828597e-05,5.949437321755987e-12
1.568676859141152e-05,5.440410929931665e-12
1.568722745885079e-05,4.324117145589719e-12
1.568741501976495e-05,3.485900136432117e-12
1.568770073776466e-05,3.089405968633385e-12
1.568793226636419e-05,3.871095208143058e-11
1.568811095112206e-05,1.631335451074419e-10
1.568821282641457e-05,3.603007253040058e-10
1.568836401536661e-05,8.973176942748551e-10
1.568848178675307e-05,1.428359159389292e-09
1.568865318350627e-05,2.012025256964991e-09
1.568870755261472e-05,2.067189494533894e-09
1.568880822652256e-05,1.896419366327089e-09
1.568886772031094e-05,1.610943513143072e-09
1.568893268766061e-05,1.393347724363711e-09
1.568896369833536e-05,1.305168597977649e-09
1.568900507352268e-05,1.196414127084907e-09
1.568902248199094e-05,1.158273876506242e-09
1.568904812875481e-05,1.099416782759734e-09
1.568907586519129e-05,1.035066065400762e-09
1.568911282882444e-05,9.514930664936259e-10
1.568912259626507e-05,9.303738730232662e-10
1.568913463383251e-05,9.041306164302086e-10
1.568914060881212e-05,8.908046694774057e-10
1.568914838907854e-05,8.746691104697296e-10
1.568915585843362e-05,8.590101213358243e-10
1.568916584738219e-05,8.384007368863157e-10
1.56891717378711e-05,8.265300852769298e-10
1.568917959148615e-05,8.109287038094484e-10
1.568918452694363e-05,8.012177947540652e-10
1.568918956600579e-05,7.913376543168293e-10
1.568919374850619e-05,7.830631581986989e-10
1.568920075593715e-05,7.693115520183155e-10
1.568920677866324e-05,7.576562151338336e-10
1.568921184054837e-05,7.479710948844471e-10
1.568921452597189e-05,7.43026683517297e-10
1.5689218475154e-05,7.358383189268251e-10
1.568922183483116e-05,7.298824977036638e-10
1.568922607602455e-05,7.226537636765757e-10
1.56892297240534e-05,7.158251822945836e-10
1.568923310827375e-05,7.09135258142395e-10
1.568923527003621e-05,7.049845229669626e-10
1.56892379068224e-05,7.001170774290576e-10
1.568924033020491e-05,6.956387443036736e-10
1.56892436683893e-05,6.89601701198708e-10
1.568924734149736e-05,6.830171583048317e-10
1.568925216567602e-05,6.744858136091887e-10
1.568925759189979e-05,6.650030479220503e-10
1.568926426592932e-05,6.534924885059528e-10
1.568927316099989e-05,6.384081329686746e-10
1.568928440710187e-05,6.197463537232173e-10
1.56892997749099e-05,5.950244722379708e-10
1.568931830225585e-05,5.664038961792095e-10
1.568934146706414e-05,5.324481615276681e-10
1.568937055261764e-05,4.925825793976299e-10
1.568941598501992e-05,4.359651144284347e-10
1.568947821433791e-05,3.686062647138475e-10
1.568955156010971e-05,3.018185710241687e-10
1.568964283209023e-05,2.353368546737966e-10
1.568976646958933e-05,1.66960586086255e-10
1.568993755969145e-05,1.044671271778056e-10
1.56902797398957e-05,3.631832413132968e-11
1.569089011636597e-05,7.211428205984778e-12
1.569187401082587e-05,-1.002664851354484e-12
1.569307750309563e-05,6.06901204451381e-12
1.569473581292459e-05,6.140958488158189e-12
1.569666743933088e-05,4.226304252443189e-12
1.569805626113014e-05,4.208754724505399e-12
1.569992635939613e-05,4.79150479220453e-12
1.570164246709834e-05,4.741109746152684e-12
1.570370455202253e-05,4.614462706689601e-12
1.570640886426175e-05,4.626412048540959e-12
1.570889112498851e-05,4.653274623940617e-12
1.571129200210823e-05,4.64800091760698e-12
1.571418413345394e-05,4.644488215263671e-12
1.571882720914632e-05,4.64758256050673e-12
1.57251169641803e-05,4.64963420173115e-12
1.573769647424828e-05,4.650558032606702e-12
1.575635650138594e-05,4.650514021921944e-12
1.57815050441183e-05,4.650946657679711e-12
1.581507391296024e-05,4.650914235201388e-12
1.584696227709415e-05,4.65105458863843e-12
1.588754778571949e-05,4.651127114847651e-12
1.591696386342986e-05,4.651092195645313e-12
1.597130708790762e-05,4.651204500619778e-12
1.602935028663372e-05,4.651115832508759e-12
1.613944251546871e-05,4.651041770912452e-12
1.625504851364126e-05,4.651127895426695e-12
1.640558577579511e-05,4.651060348102208e-12
1.65765253292505e-05,4.651131369920665e-12
1.689174721141031e-05,4.651067158513079e-12
1.722593600826502e-05,4.651133143420002e-12
1.76407740714116e-05,4.651070224737033e-12
1.807164791595672e-05,4.651134420380013e-12
1.853308112261951e-05,4.651072741041459e-12
1.897571692651118e-05,4.651134743117897e-12
1.944461345536801e-05,4.651073007616311e-12
1.972230672768402e-05,4.651134670632665e-12
2.000000000000003e-05,4.651072911737013e-12
2.018118738597988e-05,4.651134646805646e-12
2.039165946007061e-05,4.651072872715331e-12
2.055740276700307e-05,4.651134630784449e-12
2.088888938086798e-05,4.651072829783897e-12
2.155186260859781e-05,4.65113457530675e-12
2.1838347277656e-05,4.651072718088508e-12
2.19815896121851e-05,4.651134548620028e-12
2.22680742812433e-05,4.651072665818273e-12
2.24113166157724e-05,4.651134521435216e-12
2.26978012848306e-05,4.651072610918808e-12
2.314448927948852e-05,4.65113447403469e-12
2.373559189605845e-05,4.65107249522957e-12
2.466473492088364e-05,4.651134373138663e-12
2.589283711313487e-05,4.651072248988961e-12
2.785644209988845e-05,4.651134155754083e-12
3.046738000059832e-05,4.651071717027645e-12
3.418381567603975e-05,4.651133719254555e-12
4.001617992858466e-05,4.651070624514131e-12
4.823690655514849e-05,4.651132762264426e-12
5.963947099570791e-05,4.651068352526686e-12
7.465616152050353e-05,4.651131029093162e-12
9.377632206727219e-05,4.651064442478977e-12
0.0001202087603264686,4.651128231110249e-12
0.0001443548855225321,4.651058650545795e-12
0.0001531706318870588,4.651126336952466e-12
0.0001575785050693221,4.651056018207291e-12
0.0001663942514338488,4.65112561730406e-12
0.0001840257441629021,4.651053881547232e-12
0.0002126469074563373,4.651123221746765e-12
0.0002651392303434852,4.651047558633709e-12
0.0003474917785970445,4.651117357676134e-12
0.0004508063222103538,4.651034816022332e-12
0.0005964880854777823,4.651110234713407e-12
0.0007827471246027444,4.651021411353946e-12
0.001044927632357381,4.651107724417276e-12
0.001384568331850192,4.651029982855893e-12
0.001814923203558429,4.65120867779616e-12
0.002318152681982886,4.652776063574116e-12
0.002872465660830203,4.791944626074625e-12
0.003035620763989892,5.346452528599877e-12
0.0032649200849359,1.458872141721316e-11
0.003323122388138342,2.327417299452607e-11
0.003431096993350644,4.694687671510971e-11
0.003536880253653696,7.501977286546376e-11
0.003605336802757806,9.520904013495452e-11
0.003627006231413145,1.016455873464196e-10
0.003670345088723823,1.148707649610699e-10
0.003712227566292703,1.279624464202696e-10
0.003753410659754125,1.410798233247454e-10
0.003807245185827246,1.584193522921858e-10
0.003900811744683615,1.890921120763138e-10
0.003950405872341807,2.052937250544843e-10
0.004,2.21539742558937e-10
0.004000625,2.217442845986424e-10
0.004000881300312394,2.218280384105818e-10
0.00400121281721908,2.219363088778598e-10
0.004001461543602256,2.22017479550156e-10
0.004001616809121287,2.220682815017511e-10
0.00400183309005028,2.22138925835932e-10
0.004001883698350023,2.221554662999634e-10
0.004001984914949509,2.221885233958168e-10
0.004002005500609241,2.221952573280943e-10
0.004002046671928706,2.222086804609934e-10
0.004002090789929382,2.222231210050557e-10
0.004002108746803909,2.222290454795367e-10
0.004002144660552964,2.222407010750527e-10
0.004002191346189616,2.222560220487076e-10
0.004002257835469041,2.222776332414709e-10
0.004002376148615066,2.223162992997354e-10
0.00400257104380594,2.223798346526906e-10
0.004002665001002223,2.224104632260538e-10
0.004002852915394791,2.224718270429016e-10
0.004003228744179925,2.225946203865974e-10
0.004003712466334605,2.227526051167775e-10
0.004003830482540306,2.227910980799335e-10
0.004004057904321037,2.228655735907943e-10
0.00400412306040059,2.228868561819144e-10
0.004004209122960492,2.22915053609347e-10
0.004004219182008894,2.229183794600012e-10
0.004004238443689436,2.229246496327283e-10
0.004004276904889782,2.229372715984032e-10
0.00400430520236564,2.229465008015149e-10
0.004004314692113391,2.229496447057518e-10
0.004004331224598422,2.229550192531067e-10
0.004004334780471647,2.229561637326943e-10
0.004004338141704509,2.229572836787736e-10
0.004004340214177447,2.229579610030544e-10
0.004004340732872444,2.229581319543653e-10
0.004004341152721111,2.229582998097615e-10
0.004004341403761242,2.229583515755275e-10
0.00400434161842176,2.229584677021494e-10
0.004004341751341398,2.229584653601204e-10
0.004004341938721422,2.22958482185702e-10
0.004004342080888724,2.229585732315758e-10
0.004004342147723297,2.229586579973011e-10
0.004004342208372084,2.229586149723917e-10
0.004004342248268946,2.229585263682127e-10
0.004004342274735083,2.229586322717802e-10
0.004004342310858832,2.229585630454029e-10
0.004004342343234503,2.22958662712735e-10
0.004004342374296528,2.22958726844945e-10
0.004004342392757004,2.229588431430379e-10
0.004004342418153633,2.229590268755512e-10
0.004004342434982145,2.229590758631044e-10
0.00400434245651493,2.229588103050304e-10
0.004004342469819126,2.229583222265976e-10
0.004004342484473977,2.229574899734535e-10
0.004004342497899987,2.229561518113632e-10
0.004004342515183049,2.229540879678213e-10
0.004004342524401064,2.229541298938374e-10
0.004004342536422285,2.22954409548072e-10
0.004004342555337193,2.22956141746572e-10
0.004004342572460744,2.229585401858362e-10
0.004004342586408465,2.229596122118979e-10
0.004004342601876644,2.22960666317215e-10
0.004004342610483031,2.229611081068783e-10
0.004004342622689605,2.229618402901394e-10
0.004004342632098484,2.229605540876228e-10
0.004004342641483734,2.229576881689747e-10
0.004004342647099941,2.22954455258724e-10
0.004004342654334805,2.229523809953608e-10
0.004004342659550989,2.229520932768964e-10
0.004004342666222172,2.229523354859365e-10
0.004004342673183206,2.229541069482023e-10
0.004004342681341698,2.229620493810757e-10
0.004004342688643931,2.229678065271605e-10
0.004004342698168949,2.229763516785394e-10
0.004004342708932533,2.229874317712039e-10
0.004004342721864621,2.229777874942356e-10
0.004004342728599525,2.229797820420702e-10
0.004004342738731217,2.229784866916335e-10
0.004004342749018491,2.229774530570867e-10
0.004004342760225782,2.22965362104571e-10
0.004004342768120467,2.229378138242117e-10
0.004004342778542609,2.22889603036441e-10
0.004004342786042635,2.228409066460702e-10
0.004004342793512988,2.227966867461025e-10
0.004004342800819789,2.227454104742623e-10
0.004004342809656145,2.226564859529953e-10
0.004004342819199198,2.221821933998981e-10
0.004004342827522166,2.216581463889135e-10
0.0040043428339609,2.220780349729056e-10
0.004004342844658333,2.224852968112574e-10
0.004004342854916692,2.22739292928627e-10
0.004004342871130172,2.228265567442014e-10
0.004004342881217121,2.228902725443964e-10
0.00400434289548686,2.229216271993733e-10
0.004004342902358664,2.229536314660162e-10
0.004004342912733438,2.229552203669306e-10
0.004004342922101605,2.229553895284396e-10
0.004004342931086938,2.22918356169014e-10
0.004004342936935168,2.229003059097761e-10
0.004004342948631627,2.229311433183551e-10
0.004004342957600605,2.229872378720506e-10
0.004004342969640371,2.230808402430226e-10
0.004004342983896267,2.231555666928073e-10
0.00400434300267889,2.232311112400041e-10
0.004004343021524443,2.232656749947788e-10
0.00400434304672594,2.23278719990983e-10
0.004004343054409952,2.232760765345351e-10
0.004004343066318361,2.232474101433081e-10
0.004004343073009054,2.232344548752699e-10
0.004004343082241046,2.23213855542919e-10
0.00400434309079602,2.231903560777909e-10
0.004004343099393058,2.231711256944978e-10
0.0040043431042876,2.231606473884734e-10
0.004004343108737491,2.231515466418469e-10
0.004004343112128686,2.231450591425479e-10
0.004004343117506985,2.231350814693776e-10
0.004004343122508663,2.231263344659446e-10
0.004004343127605185,2.231177692251266e-10
0.004004343131842864,2.231109290819647e-10
0.004004343137725263,2.23102003010947e-10
0.004004343141337095,2.230966869127572e-10
0.004004343146047074,2.230901877516532e-10
0.004004343151266354,2.23083435254587e-10
0.004004343156344895,2.230768178299994e-10
0.004004343159827415,2.230730680185098e-10
0.004004343165816422,2.230666376077043e-10
0.004004343172734012,2.230596680065256e-10
0.004004343180970925,2.230526115830853e-10
0.004004343191201232,2.230454813505898e-10
0.004004343201727788,2.230398487070668e-10
0.004004343212479169,2.23033443807346e-10
0.004004343225688747,2.230231282005356e-10
0.004004343244031992,2.230086349372609e-10
0.004004343266605689,2.229915993272207e-10
0.004004343303174104,2.229680785190576e-10
0.004004343343431643,2.229474107777103e-10
0.004004343389472712,2.229343415405709e-10
0.004004343433552612,2.229265555669001e-10
0.00400434347243444,2.229312442175716e-10
0.004004343509656799,2.229342152437937e-10
0.004004343553191373,2.229341262791053e-10
0.004004343578956358,2.229363370161983e-10
0.004004343599148277,2.229358978103745e-10
0.004004343621413895,2.229384548739912e-10
0.004004343640060385,2.2293943281938e-10
0.004004343659248649,2.229426427660322e-10
0.004004343669095949,2.229434725253369e-10
0.004004343682561335,2.229440811762494e-10
0.004004343694928131,2.22945075711928e-10
0.004004343706113563,2.229453476836245e-10
0.004004343714944924,2.229422262191315e-10
0.00400434372459233,2.229423164474594e-10
0.004004343730386,2.229424152611503e-10
0.004004343736135937,2.22941890240175e-10
0.004004343741203164,2.229411158179832e-10
0.004004343746694668,2.229409334312308e-10
0.004004343752848166,2.229419146924303e-10
0.004004343760115239,2.229436915784241e-10
0.004004343767019017,2.229453321638866e-10
0.004004343775378203,2.22946800133272e-10
0.004004343786185924,2.229477175438512e-10
0.004004343799376278,2.22948087346284e-10
0.004004343814839426,2.229482744649888e-10
0.0040043438290427,2.22948399589622e-10
0.004004343842037549,2.229487614720116e-10
0.004004343853872164,2.229492445893953e-10
0.004004343866354941,2.229497597379547e-10
0.004004343872571646,2.229501049684557e-10
0.00400434387835356,2.229503859510414e-10
0.004004343884518514,2.229507717744297e-10
0.004004343890825626,2.229510858261682e-10
0.004004343901255715,2.22951621850039e-10
0.004004343909616077,2.229521883823525e-10
0.004004343920908406,2.22952859420678e-10
0.004004343931203629,2.229534286514072e-10
0.004004343944468962,2.229541850510626e-10
0.004004343956433948,2.229548015153563e-10
0.004004343967435985,2.22955322790007e-10
0.004004343975410989,2.22955728332419e-10
0.004004343984750604,2.229562208834341e-10
0.004004343997545616,2.229566728096599e-10
0.004004344010829239,2.229571666545392e-10
0.004004344018569319,2.229574293687341e-10
0.004004344030139997,2.229577301943663e-10
0.004004344036929896,2.229579795744702e-10
0.004004344044758191,2.229582595815542e-10
0.00400434404853383,2.229582660841364e-10
0.004004344054013354,2.22958354232362e-10
0.004004344057645018,2.229584701329468e-10
0.004004344064222752,2.229585681627667e-10
0.004004344070819444,2.229587361749898e-10
0.004004344078727214,2.229588990670941e-10
0.004004344086942914,2.229590076745285e-10
0.004004344097073701,2.22959237058697e-10
0.004004344104337095,2.229592383896921e-10
0.004004344112638375,2.22959240313814e-10
0.004004344119311756,2.229593939996657e-10
0.004004344125651573,2.22959515315343e-10
0.004004344132280095,2.229595019576673e-10
0.004004344141953213,2.229595420625832e-10
0.004004344151247545,2.229596265929044e-10
0.004004344161969216,2.229597757846894e-10
0.004004344173541969,2.229597259375521e-10
0.004004344186997019,2.229597593412531e-10
0.004004344205640878,2.229598086872225e-10
0.004004344222797509,2.229599129271842e-10
0.004004344230880726,2.229598444167283e-10
0.00400434424155191,2.229597593716515e-10
0.004004344255838798,2.229598569974181e-10
0.004004344269048525,2.229597780504945e-10
0.004004344278012854,2.229598537696031e-10
0.004004344287531776,2.229597630299448e-10
0.004004344293889156,2.229598419953411e-10
0.004004344300779633,2.229597395442367e-10
0.004004344307491395,2.22959828686539e-10
0.004004344315331615,2.229599170385924e-10
0.004004344322646358,2.229598141885069e-10
0.004004344331230055,2.22959883355642e-10
0.004004344336532656,2.229597913310593e-10
0.004004344344264743,2.229598206220245e-10
0.004004344349000375,2.229597521734653e-10
0.004004344356118051,2.229597663136005e-10
0.004004344359981826,2.229597452926046e-10
0.004004344367709375,2.22959737235884e-10
0.00400434437498357,2.229596983263587e-10
0.00400434438436937,2.229595886357171e-10
0.004004344391595803,2.229595622908538e-10
0.004004344400140811,2.229595043748855e-10
0.00400434440859405,2.229592441125214e-10
0.004004344416862847,2.229590828892654e-10
0.004004344425691329,2.229592053969277e-10
0.004004344437838979,2.229593890461151e-10
0.004004344448879774,2.229594024691442e-10
0.004004344462897825,2.229595945201632e-10
0.004004344477292263,2.229596356086093e-10
0.004004344493126249,2.229589232732256e-10
0.004004344507170732,2.229595941963078e-10
0.004004344520892746,2.229602650750258e-10
0.004004344532952369,2.229599782054341e-10
0.004004344547651017,2.229597085170558e-10
0.004004344560470679,2.229594747682173e-10
0.004004344578092425,2.229590346643236e-10
0.004004344592435092,2.229589760398318e-10
0.004004344603207567,2.229588880268771e-10
0.004004344612121844,2.229587017238136e-10
0.004004344621335755,2.229585757673867e-10
0.004004344629224776,2.229585632962723e-10
0.004004344639064255,2.229587227844377e-10
0.00400434464815513,2.22958836773399e-10
0.004004344656636911,2.229590774105809e-10
0.004004344663102915,2.229593226200357e-10
0.004004344670528012,2.229593481558986e-10
